Your Matric (grade 12) Average/ GPA (in %),Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Monthly Allowance in 2023,Additional amount of studying (in hrs) per week,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,gpa_change,alcohol_impact_score,Your Sex?_Male,What year were you in last year (2023) ?_2nd Year,What year were you in last year (2023) ?_3rd Year,What year were you in last year (2023) ?_4th Year,What year were you in last year (2023) ?_Postgraduate,What faculty does your degree fall under?_Arts & Social Sciences,What faculty does your degree fall under?_Economic & Management Sciences,What faculty does your degree fall under?_Education,What faculty does your degree fall under?_Engineering,What faculty does your degree fall under?_Law,What faculty does your degree fall under?_Medicine and Health Services,What faculty does your degree fall under?_Science,Your Accommodation Status Last Year (2023)_Private accommodation/ stay with family/friends,"Were you on scholarship/bursary in 2023?_Yes (NSFAS, etc...)",How often do you go out partying/socialising during the week? _1,How often do you go out partying/socialising during the week? _2,How often do you go out partying/socialising during the week? _3,How often do you go out partying/socialising during the week? _4+,How often do you go out partying/socialising during the week? _Only weekends,Are you currently in a romantic relationship?_Yes,Do your parents approve alcohol consumption?_Yes,How strong is your relationship with your parent/s?_Distant,How strong is your relationship with your parent/s?_Fair,How strong is your relationship with your parent/s?_Very close
0.6461538461538462,0.6439742410303587,,0.0,0.0,1.0,0.0,0.48529411764705876,1.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True
0.8461538461538461,0.689972401103956,,0.0,0.0,0.0,0.0,0.338235294117647,0.0,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True
0.6461538461538462,0.3833180006133088,,0.0,0.0,1.0,0.0,0.23529411764705876,1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
0.8461538461538461,0.827966881324747,,0.0,0.0,0.6666666666666666,0.0,0.4705882352941176,0.6666666666666666,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True
0.6153846153846153,0.33731984053971176,,0.0,0.0,0.3333333333333333,1.0,0.22058823529411759,0.3333333333333333,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
0.7538461538461539,0.5366452008586323,,0.0,0.0,1.0,0.3333333333333333,0.2794117647058823,1.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True
0.7076923076923077,0.36798528058877644,,0.0,0.0,0.3333333333333333,0.0,0.16176470588235292,0.3333333333333333,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
0.7846153846153846,0.689972401103956,,0.0,0.0,0.6666666666666666,0.0,0.3970588235294117,0.6666666666666666,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True
0.8461538461538461,0.5366452008586323,,0.0,0.0,0.0,0.0,0.19117647058823528,0.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
0.7538461538461539,0.5366452008586323,,0.0,0.0,0.0,0.0,0.2794117647058823,0.0,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
0.6307692307692309,0.5366452008586323,,0.0,0.0,0.0,0.0,0.3970588235294117,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
0.7076923076923077,0.689972401103956,,0.0,0.0,0.0,0.0,0.4705882352941176,0.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0.6923076923076924,0.5213124808341,,0.0,0.0,0.6666666666666666,0.0,0.32352941176470584,0.6666666666666666,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
0.5846153846153846,0.7053051211284883,,0.0,0.0,0.0,0.0,0.6029411764705882,0.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True
0.6769230769230771,0.5366452008586323,,0.0,0.0,0.0,0.0,0.3529411764705882,0.0,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True
0.8153846153846155,0.689972401103956,,0.0,0.0,0.0,0.0,0.3676470588235294,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True
0.8000000000000002,0.5366452008586323,,0.0,0.0,0.0,0.0,0.23529411764705876,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
0.6153846153846153,0.5366452008586323,,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True
0.7538461538461539,0.5366452008586323,,0.0,0.0,0.0,0.0,0.2794117647058823,0.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True
0.5384615384615384,0.3833180006133088,,0.0,0.0,1.0,1.0,0.338235294117647,1.0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
